Bateria_descarregar,Bateria_carregar,potencia_REDE,SoC,PV_ref,custo_energia,Q_rede,Q_bat_PU,P_bat_PU,V_PCC
0.0,0.21000043,219.81,0.78004631,2.1899995709955666,0.65,-58.927275,0.5637091,-0.00084000172,1.0
0.63,0.0,217.07,0.78010631,1.929999999999999,0.65,-58.927275,0.5623731,0.00252,1.0
0.72,0.0,215.28,0.77991099,0.7199999999999991,1.0,-58.927275,0.5610451,0.00288,1.0
0.37,0.0,212.63,0.77968777,0.3699999999999991,1.0,-58.927275,0.5597091,0.00148,1.0
0.13,0.0,213.17,0.77957306,0.12999999999999975,1.0,-58.927275,0.5557091,0.00052,1.0
0.0,0.0,213.6,0.77953276,0.0,1.0,-58.927275,0.5517091,0.0,1.0
0.0,0.0,214.0,0.77953276,1.1102230246251563e-16,1.0,-58.927275,0.5477091,0.0,1.0
0.0,0.0,214.3,0.77953276,2.2204460492503126e-17,1.0,-58.927275,0.5437091,0.0,1.0
0.0,0.0,214.6,0.77953276,2.2204460492503126e-17,1.0,-58.927275,0.5397091,0.0,1.0
0.0,0.0,215.0,0.77953276,0.0,1.0,-58.927275,0.5357091,0.0,1.0
0.0,0.0,218.3,0.77953276,0.0,1.0,-58.927275,0.5430411,0.0,1.0
0.0,0.0,221.6,0.77953276,0.0,1.0,-58.927275,0.5503771,0.0,1.0
0.0,0.0,225.0,0.77953276,0.0,1.0,-58.927275,0.5577091,0.0,1.0
0.0,0.0,228.3,0.77953276,0.0,1.0,-58.927275,0.5650411,0.0,1.0
0.0,0.0,231.6,0.77953276,0.0,1.0,-58.927275,0.5723771,0.0,1.0
0.0,0.0,235.0,0.77953276,0.0,1.0,-58.927275,0.5797091,0.0,1.0
0.0,0.0,250.0,0.77953276,0.0,1.0,-58.927275,0.5917091,0.0,1.0
0.0,0.0,264.9,0.77953276,0.0,1.0,-58.927275,0.6037091,0.0,1.0
0.0,0.0,280.0,0.77953276,0.0,1.0,-58.927275,0.6157091,0.0,1.0
0.0,0.0,295.0,0.77953276,0.0,1.0,-58.927275,0.6277091,0.0,1.0
9.91,0.0,299.99,0.77953276,0.0,0.65,-58.927275,0.6397091,0.03964,1.0
25.01,0.0,299.99,0.7764604,0.0,0.65,-58.927275,0.6517091,0.10004,1.0
15.31,0.0,299.99,0.76870665,0.0,0.65,-58.927275,0.6443731,0.06124,1.0
5.61,0.0,299.99,0.76396015,0.0,0.65,-58.927275,0.6370451,0.02244,1.0
0.0,3.027034,299.02703,0.76222091,0.0,0.65,-58.927275,0.6297091,-0.012108136,1.0
0.0,0.0,286.3,0.76308579,0.0,0.65,-58.927275,0.6223731,0.0,1.0
0.0,23.39,299.99,0.76308579,0.0,0.47,-58.927275,0.6150451,-0.09356,1.0
0.0,32.99,299.99,0.76976878,0.0,0.47,-58.927275,0.6077091,-0.13196,1.0
0.0,33.39,299.99,0.77919468,0.0,0.47,-58.927275,0.6163771,-0.13356,1.0
0.0,33.69,299.99,0.78873487,0.0,0.47,-58.927275,0.6250411,-0.13476,1.0
0.0,2.895234,268.89523,0.79836078,0.0,0.47,-58.927275,0.6337091,-0.011580936,1.0
0.0,0.0,265.6,0.79918801,0.0,0.47,-58.927275,0.6423771,0.0,1.0
0.0,0.0,265.3,0.79918801,0.0,0.47,-58.927275,0.6510411,0.0,1.0
0.0,0.0,265.0,0.79918801,0.0,0.47,-58.927275,0.6597091,0.0,1.0
0.0,0.03477714,266.13478,0.79918801,0.0,0.47,-58.927275,0.6683731,-0.00013910856,1.0
0.0,0.0,267.3,0.79919794,0.0,0.47,-58.927275,0.6770451,0.0,1.0
0.0,0.0,268.5,0.79919794,0.0,0.47,-58.927275,0.6857091,0.0,1.0
0.0,0.0,269.6,0.79919794,0.0,0.47,-58.927275,0.6943731,0.0,1.0
0.0,0.0,270.8,0.79919794,0.0,0.47,-58.927275,0.7030451,0.0,1.0
0.0,0.030793999,272.03079,0.79919794,0.0,0.47,-58.927275,0.7117091,-0.00012317599,1.0
0.0,0.0041113117,266.80411,0.79920674,0.0,0.47,-58.927275,0.7050451,-1.6445247e-05,1.0
0.0,0.17450128,261.7745,0.79920792,0.0,0.47,-58.927275,0.6983731,-0.00069800513,1.0
0.0,0.059743236,256.55974,0.79925778,0.0,0.47,-58.927275,0.6917091,-0.00023897295,1.0
0.0,0.0,251.3,0.79927485,0.0,0.47,-58.927275,0.6850451,0.0,1.0
0.0,0.026215306,246.12622,0.79927485,0.0,0.47,-58.927275,0.6783731,-0.00010486122,1.0
0.0,0.21877026,241.21877,0.79928234,0.0,0.47,-58.927275,0.6717091,-0.00087508105,1.0
0.0,0.0,239.3,0.79934484,0.0,0.47,-58.927275,0.6723771,0.0,1.0
0.0,0.0,237.6,0.79934484,0.0,0.47,-58.927275,0.6730411,0.0,1.0
0.0,0.0,236.0,0.79934484,0.0,0.47,-58.927275,0.6737091,0.0,1.0
0.0,0.0,234.3,0.79934484,0.0,0.47,-58.927275,0.6743771,0.0,1.0
0.0,0.0,232.6,0.79934484,0.0,0.47,-58.927275,0.6750411,0.0,1.0
0.0,0.0,231.0,0.79934484,0.0,0.47,-58.927275,0.6757091,0.0,1.0
0.0,0.0,230.3,0.79934484,0.0,0.47,-58.927275,0.6757091,0.0,1.0
0.0,0.0,229.6,0.79934484,0.0,0.47,-58.927275,0.6757091,0.0,1.0
0.0,0.0,229.0,0.79934484,0.0,0.47,-58.927275,0.6757091,0.0,1.0
0.0,0.0,228.3,0.79934484,0.0,0.47,-58.927275,0.6757091,0.0,1.0
0.0,0.0,227.6,0.79934484,0.0,0.47,-58.927275,0.6757091,0.0,1.0
0.0,0.0,227.0,0.79934484,0.0,0.47,-58.927275,0.6757091,0.0,1.0
0.0,0.0,225.9,0.79934484,0.0,0.47,-58.927275,0.6770411,0.0,1.0
0.0,0.0,225.0,0.79934484,0.0,0.47,-58.927275,0.6783771,0.0,1.0
