#timPSTamp,	constant_power_A,constant_power_C
2017-11-04 05:40:00,176.48+87.2j,176.48+87.2j
2017-11-04 05:50:00,176.24+87.2j,176.24+87.2j
2017-11-04 06:00:00,176+87.2j,176+87.2j
2017-11-04 06:10:00,172.88+86.13j,172.88+86.13j
2017-11-04 06:20:00,169.84+85.07j,169.84+85.07j
2017-11-04 06:30:00,166.8+84j,166.8+84j
2017-11-04 06:40:00,163.68+82.93j,163.68+82.93j
2017-11-04 06:50:00,160.64+81.87j,160.64+81.87j
2017-11-04 07:00:00,157.6+80.8j,157.6+80.8j
2017-11-04 07:10:00,153.92+78.4j,153.92+78.4j
2017-11-04 07:20:00,150.4+76j,150.4+76j
2017-11-04 07:30:00,146.8+73.6j,146.8+73.6j
2017-11-04 07:40:00,143.12+71.2j,143.12+71.2j
2017-11-04 07:50:00,139.6+68.8j,139.6+68.8j
2017-11-04 08:00:00,136+66.4j,136+66.4j
2017-11-04 08:10:00,137.04+68.13j,137.04+68.13j
2017-11-04 08:20:00,138.08+69.87j,138.08+69.87j
2017-11-04 08:30:00,139.2+71.6j,139.2+71.6j
2017-11-04 08:40:00,140.24+73.33j,140.24+73.33j
2017-11-04 08:50:00,141.28+75.07j,141.28+75.07j
2017-11-04 09:00:00,142.4+76.8j,142.4+76.8j
2017-11-04 09:10:00,149.2+78.67j,149.2+78.67j
2017-11-04 09:20:00,155.92+80.53j,155.92+80.53j
2017-11-04 09:30:00,162.8+82.4j,162.8+82.4j
2017-11-04 09:40:00,169.6+84.27j,169.6+84.27j
2017-11-04 09:50:00,176.32+86.13j,176.32+86.13j
2017-11-04 10:00:00,183.2+88j,183.2+88j
2017-11-04 10:10:00,188.08+88.67j,188.08+88.67j
2017-11-04 10:20:00,193.04+89.33j,193.04+89.33j
2017-11-04 10:30:00,198+90j,198+90j
2017-11-04 10:40:00,202.88+90.67j,202.88+90.67j
2017-11-04 10:50:00,207.84+91.33j,207.84+91.33j
2017-11-04 11:00:00,212.8+92j,212.8+92j
2017-11-04 11:10:00,204.48+88.93j,204.48+88.93j
2017-11-04 11:20:00,196.24+85.87j,196.24+85.87j
2017-11-04 11:30:00,188+82.8j,188+82.8j
2017-11-04 11:40:00,179.68+79.73j,179.68+79.73j
2017-11-04 11:50:00,171.44+76.67j,171.44+76.67j
2017-11-04 12:00:00,163.2+73.6j,163.2+73.6j
2017-11-04 12:10:00,160.8+73.2j,160.8+73.2j
2017-11-04 12:20:00,158.4+72.8j,158.4+72.8j
2017-11-04 12:30:00,156+72.4j,156+72.4j
2017-11-04 12:40:00,153.6+72j,153.6+72j
2017-11-04 12:50:00,151.2+71.6j,151.2+71.6j
2017-11-04 13:00:00,148.8+71.2j,148.8+71.2j
2017-11-04 13:10:00,151.68+70.8j,151.68+70.8j
2017-11-04 13:20:00,154.64+70.4j,154.64+70.4j
2017-11-04 13:30:00,157.6+70j,157.6+70j
2017-11-04 13:40:00,160.48+69.6j,160.48+69.6j
2017-11-04 13:50:00,163.44+69.2j,163.44+69.2j
2017-11-04 14:00:00,166.4+68.8j,166.4+68.8j
2017-11-04 14:10:00,165.6+68.53j,165.6+68.53j
2017-11-04 14:20:00,164.8+68.27j,164.8+68.27j
2017-11-04 14:30:00,164+68j,164+68j
2017-11-04 14:40:00,163.2+67.73j,163.2+67.73j
2017-11-04 14:50:00,162.4+67.47j,162.4+67.47j
2017-11-04 15:00:00,161.6+67.2j,161.6+67.2j
2017-11-04 15:10:00,159.84+67.33j,159.84+67.33j
2017-11-04 15:20:00,158.08+67.47j,158.08+67.47j
2017-11-04 15:30:00,156.4+67.6j,156.4+67.6j
2017-11-04 15:40:00,154.64+67.73j,154.64+67.73j
2017-11-04 15:50:00,152.88+67.87j,152.88+67.87j
2017-11-04 16:00:00,151.2+68j,151.2+68j
2017-11-04 16:10:00,148.8+68.53j,148.8+68.53j
2017-11-04 16:20:00,146.4+69.07j,146.4+69.07j
2017-11-04 16:30:00,144+69.6j,144+69.6j
2017-11-04 16:40:00,141.6+70.13j,141.6+70.13j
2017-11-04 16:50:00,139.2+70.67j,139.2+70.67j
2017-11-04 17:00:00,136.8+71.2j,136.8+71.2j
2017-11-04 17:10:00,140.32+71.33j,140.32+71.33j
2017-11-04 17:20:00,144+71.47j,144+71.47j
2017-11-04 17:30:00,147.6+71.6j,147.6+71.6j
2017-11-04 17:40:00,151.12+71.73j,151.12+71.73j
2017-11-04 17:50:00,154.8+71.87j,154.8+71.87j
2017-11-04 18:00:00,158.4+72j,158.4+72j
2017-11-04 18:10:00,159.44+71.87j,159.44+71.87j
2017-11-04 18:20:00,160.48+71.73j,160.48+71.73j
2017-11-04 18:30:00,161.6+71.6j,161.6+71.6j
2017-11-04 18:40:00,162.64+71.47j,162.64+71.47j
2017-11-04 18:50:00,163.68+71.33j,163.68+71.33j
2017-11-04 19:00:00,164.8+71.2j,164.8+71.2j
2017-11-04 19:10:00,166+71.6j,166+71.6j
2017-11-04 19:20:00,167.12+72j,167.12+72j
2017-11-04 19:30:00,168.4+72.4j,168.4+72.4j
2017-11-04 19:40:00,169.6+72.8j,169.6+72.8j
2017-11-04 19:50:00,170.72+73.2j,170.72+73.2j
2017-11-04 20:00:00,172+73.6j,172+73.6j
2017-11-04 20:10:00,188.24+78.8j,188.24+78.8j
2017-11-04 20:20:00,204.48+84j,204.48+84j
2017-11-04 20:30:00,220.8+89.2j,220.8+89.2j
2017-11-04 20:40:00,237.04+94.4j,237.04+94.4j
2017-11-04 20:50:00,253.28+99.6j,253.28+99.6j
2017-11-04 21:00:00,269.6+104.8j,269.6+104.8j
2017-11-04 21:10:00,266.4+104j,266.4+104j
2017-11-04 21:20:00,263.12+103.2j,263.12+103.2j
2017-11-04 21:30:00,260+102.4j,260+102.4j
2017-11-04 21:40:00,256.8+101.6j,256.8+101.6j
2017-11-04 21:50:00,253.52+100.8j,253.52+100.8j
2017-11-04 22:00:00,250.4+100j,250.4+100j
2017-11-04 22:10:00,248.64+99.87j,248.64+99.87j
2017-11-04 22:20:00,246.88+99.73j,246.88+99.73j
2017-11-04 22:30:00,245.2+99.6j,245.2+99.6j
2017-11-04 22:40:00,243.44+99.47j,243.44+99.47j
2017-11-04 22:50:00,241.68+99.33j,241.68+99.33j
2017-11-04 23:00:00,240+99.2j,240+99.2j
2017-11-04 23:10:00,235.92+97.87j,235.92+97.87j
2017-11-04 23:20:00,232+96.53j,232+96.53j
2017-11-04 23:30:00,228+95.2j,228+95.2j
2017-11-04 23:40:00,223.92+93.87j,223.92+93.87j
2017-11-04 23:50:00,220+92.53j,220+92.53j
2017-11-05 00:00:00,216+91.2j,216+91.2j
2017-11-05 00:10:00,213.84+91.47j,213.84+91.47j
2017-11-05 00:20:00,211.68+91.73j,211.68+91.73j
2017-11-05 00:30:00,209.6+92j,209.6+92j
2017-11-05 00:40:00,207.44+92.27j,207.44+92.27j
2017-11-05 00:50:00,205.28+92.53j,205.28+92.53j
2017-11-05 01:00:00,203.2+92.8j,203.2+92.8j
2017-11-05 01:10:00,201.04+93.2j,201.04+93.2j
2017-11-05 01:20:00,198.88+93.6j,198.88+93.6j
2017-11-05 01:30:00,196.8+94j,196.8+94j
2017-11-05 01:40:00,194.64+94.4j,194.64+94.4j
2017-11-05 01:50:00,192.48+94.8j,192.48+94.8j
2017-11-05 02:00:00,190.4+95.2j,190.4+95.2j
2017-11-05 02:10:00,189.04+94.67j,189.04+94.67j
2017-11-05 02:20:00,187.68+94.13j,187.68+94.13j
2017-11-05 02:30:00,186.4+93.6j,186.4+93.6j
2017-11-05 02:40:00,185.04+93.07j,185.04+93.07j
2017-11-05 02:50:00,183.68+92.53j,183.68+92.53j
2017-11-05 03:00:00,182.4+92j,182.4+92j
2017-11-05 03:10:00,182.08+92.53j,182.08+92.53j
2017-11-05 03:20:00,181.84+93.07j,181.84+93.07j
2017-11-05 03:30:00,181.6+93.6j,181.6+93.6j
2017-11-05 03:40:00,181.28+94.13j,181.28+94.13j
2017-11-05 03:50:00,181.04+94.67j,181.04+94.67j
2017-11-05 04:00:00,180.8+95.2j,180.8+95.2j
2017-11-05 04:10:00,180.48+94.67j,180.48+94.67j
2017-11-05 04:20:00,180.24+94.13j,180.24+94.13j
2017-11-05 04:30:00,180+93.6j,180+93.6j
2017-11-05 04:40:00,179.68+93.07j,179.68+93.07j
2017-11-05 04:50:00,179.44+92.53j,179.44+92.53j
2017-11-05 05:00:00,179.2+92j,179.2+92j
2017-11-05 05:10:00,178.88+91.73j,178.88+91.73j
