#timPSTamp,	constant_power_A,constant_power_C
2017-11-04 11:00:00,465.5+201.25j,465.5+201.25j
2017-11-04 11:10:00,447.3+194.54j,447.3+194.54j
2017-11-04 11:20:00,429.28+187.83j,429.28+187.83j
2017-11-04 11:30:00,411.25+181.13j,411.25+181.13j
2017-11-04 11:40:00,393.05+174.42j,393.05+174.42j
2017-11-04 11:50:00,375.03+167.71j,375.03+167.71j
2017-11-04 12:00:00,357+161j,357+161j
2017-11-04 12:10:00,351.75+160.13j,351.75+160.13j
2017-11-04 12:20:00,346.5+159.25j,346.5+159.25j
2017-11-04 12:30:00,341.25+158.38j,341.25+158.38j
2017-11-04 12:40:00,336+157.5j,336+157.5j
2017-11-04 12:50:00,330.75+156.63j,330.75+156.63j
2017-11-04 13:00:00,325.5+155.75j,325.5+155.75j
2017-11-04 13:10:00,331.8+154.88j,331.8+154.88j
2017-11-04 13:20:00,338.28+154j,338.28+154j
2017-11-04 13:30:00,344.75+153.13j,344.75+153.13j
2017-11-04 13:40:00,351.05+152.25j,351.05+152.25j
2017-11-04 13:50:00,357.53+151.38j,357.53+151.38j
2017-11-04 14:00:00,364+150.5j,364+150.5j
2017-11-04 14:10:00,362.25+149.92j,362.25+149.92j
2017-11-04 14:20:00,360.5+149.33j,360.5+149.33j
2017-11-04 14:30:00,358.75+148.75j,358.75+148.75j
2017-11-04 14:40:00,357+148.17j,357+148.17j
2017-11-04 14:50:00,355.25+147.58j,355.25+147.58j
2017-11-04 15:00:00,353.5+147j,353.5+147j
2017-11-04 15:10:00,349.65+147.29j,349.65+147.29j
2017-11-04 15:20:00,345.8+147.58j,345.8+147.58j
2017-11-04 15:30:00,342.13+147.88j,342.13+147.88j
2017-11-04 15:40:00,338.28+148.17j,338.28+148.17j
2017-11-04 15:50:00,334.43+148.46j,334.43+148.46j
2017-11-04 16:00:00,330.75+148.75j,330.75+148.75j
2017-11-04 16:10:00,325.5+149.92j,325.5+149.92j
2017-11-04 16:20:00,320.25+151.08j,320.25+151.08j
2017-11-04 16:30:00,315+152.25j,315+152.25j
2017-11-04 16:40:00,309.75+153.42j,309.75+153.42j
2017-11-04 16:50:00,304.5+154.58j,304.5+154.58j
2017-11-04 17:00:00,299.25+155.75j,299.25+155.75j
2017-11-04 17:10:00,306.95+156.04j,306.95+156.04j
2017-11-04 17:20:00,315+156.33j,315+156.33j
2017-11-04 17:30:00,322.88+156.63j,322.88+156.63j
2017-11-04 17:40:00,330.58+156.92j,330.58+156.92j
2017-11-04 17:50:00,338.63+157.21j,338.63+157.21j
2017-11-04 18:00:00,346.5+157.5j,346.5+157.5j
2017-11-04 18:10:00,348.78+157.21j,348.78+157.21j
2017-11-04 18:20:00,351.05+156.92j,351.05+156.92j
2017-11-04 18:30:00,353.5+156.63j,353.5+156.63j
2017-11-04 18:40:00,355.78+156.33j,355.78+156.33j
2017-11-04 18:50:00,358.05+156.04j,358.05+156.04j
2017-11-04 19:00:00,360.5+155.75j,360.5+155.75j
2017-11-04 19:10:00,363.13+156.63j,363.13+156.63j
2017-11-04 19:20:00,365.58+157.5j,365.58+157.5j
2017-11-04 19:30:00,368.38+158.38j,368.38+158.38j
2017-11-04 19:40:00,371+159.25j,371+159.25j
2017-11-04 19:50:00,373.45+160.13j,373.45+160.13j
2017-11-04 20:00:00,376.25+161j,376.25+161j
2017-11-04 20:10:00,411.78+172.38j,411.78+172.38j
2017-11-04 20:20:00,447.3+183.75j,447.3+183.75j
2017-11-04 20:30:00,483+195.13j,483+195.13j
2017-11-04 20:40:00,518.53+206.5j,518.53+206.5j
2017-11-04 20:50:00,554.05+217.88j,554.05+217.88j
2017-11-04 21:00:00,589.75+229.25j,589.75+229.25j
2017-11-04 21:10:00,582.75+227.49j,582.75+227.49j
2017-11-04 21:20:00,575.58+225.75j,575.58+225.75j
2017-11-04 21:30:00,568.75+224j,568.75+224j
2017-11-04 21:40:00,561.75+222.25j,561.75+222.25j
2017-11-04 21:50:00,554.58+220.5j,554.58+220.5j
2017-11-04 22:00:00,547.75+218.75j,547.75+218.75j
2017-11-04 22:10:00,543.9+218.46j,543.9+218.46j
2017-11-04 22:20:00,540.05+218.17j,540.05+218.17j
2017-11-04 22:30:00,536.38+217.88j,536.38+217.88j
2017-11-04 22:40:00,532.53+217.58j,532.53+217.58j
2017-11-04 22:50:00,528.68+217.29j,528.68+217.29j
2017-11-04 23:00:00,525+217j,525+217j
2017-11-04 23:10:00,516.08+214.08j,516.08+214.08j
2017-11-04 23:20:00,507.5+211.17j,507.5+211.17j
2017-11-04 23:30:00,498.75+208.25j,498.75+208.25j
2017-11-04 23:40:00,489.83+205.33j,489.83+205.33j
2017-11-04 23:50:00,481.25+202.42j,481.25+202.42j
2017-11-05 00:00:00,472.5+199.5j,472.5+199.5j
2017-11-05 00:10:00,467.78+200.08j,467.78+200.08j
2017-11-05 00:20:00,463.05+200.67j,463.05+200.67j
2017-11-05 00:30:00,458.5+201.25j,458.5+201.25j
2017-11-05 00:40:00,453.78+201.83j,453.78+201.83j
2017-11-05 00:50:00,449.05+202.42j,449.05+202.42j
2017-11-05 01:00:00,444.5+203j,444.5+203j
2017-11-05 01:10:00,439.78+203.88j,439.78+203.88j
2017-11-05 01:20:00,435.05+204.75j,435.05+204.75j
2017-11-05 01:30:00,430.5+205.63j,430.5+205.63j
2017-11-05 01:40:00,425.78+206.5j,425.78+206.5j
2017-11-05 01:50:00,421.05+207.38j,421.05+207.38j
2017-11-05 02:00:00,416.5+208.25j,416.5+208.25j
2017-11-05 02:10:00,413.53+207.08j,413.53+207.08j
2017-11-05 02:20:00,410.55+205.92j,410.55+205.92j
2017-11-05 02:30:00,407.75+204.75j,407.75+204.75j
