#imPSTamp,P_Out
2017-11-05 15:30:00,22900
2017-11-05 15:40:00,36800
2017-11-05 15:50:00,24000
2017-11-05 16:00:00,20600
2017-11-05 16:10:00,52300
2017-11-05 16:20:00,30600
2017-11-05 16:30:00,29900
2017-11-05 16:40:00,31300
2017-11-05 16:50:00,10200
2017-11-05 17:00:00,12300
2017-11-05 17:10:00,7500
2017-11-05 17:20:00,6400
2017-11-05 17:30:00,4700
2017-11-05 17:40:00,2100
2017-11-05 17:50:00,0
2017-11-05 18:00:00,0
2017-11-05 18:10:00,0
2017-11-05 18:20:00,0
2017-11-05 18:30:00,0
2017-11-05 18:40:00,0
2017-11-05 18:50:00,0
2017-11-05 19:00:00,0
2017-11-05 19:10:00,0
2017-11-05 19:20:00,0
2017-11-05 19:30:00,0
2017-11-05 19:40:00,0
2017-11-05 19:50:00,0
2017-11-05 20:00:00,0
2017-11-05 20:10:00,0
2017-11-05 20:20:00,0
2017-11-05 20:30:00,0
2017-11-05 20:40:00,0
2017-11-05 20:50:00,0
2017-11-05 21:00:00,0
2017-11-05 21:10:00,0
2017-11-05 21:20:00,0
2017-11-05 21:30:00,0
2017-11-05 21:40:00,0
2017-11-05 21:50:00,0
2017-11-05 22:00:00,0
2017-11-05 22:10:00,0
2017-11-05 22:20:00,0
2017-11-05 22:30:00,0
2017-11-05 22:40:00,0
2017-11-05 22:50:00,0
2017-11-05 23:00:00,0
2017-11-05 23:10:00,0
2017-11-05 23:20:00,0
2017-11-05 23:30:00,0
2017-11-05 23:40:00,0
2017-11-05 23:50:00,0
2017-11-06 00:00:00,0
2017-11-06 00:10:00,0
2017-11-06 00:20:00,0
2017-11-06 00:30:00,0
2017-11-06 00:40:00,0
2017-11-06 00:50:00,0
2017-11-06 01:00:00,0
2017-11-06 01:10:00,0
2017-11-06 01:20:00,0
2017-11-06 01:30:00,0
2017-11-06 01:40:00,0
2017-11-06 01:50:00,0
2017-11-06 02:00:00,0
2017-11-06 02:10:00,0
2017-11-06 02:20:00,0
2017-11-06 02:30:00,0
2017-11-06 02:40:00,0
2017-11-06 02:50:00,0
2017-11-06 03:00:00,0
2017-11-06 03:10:00,0
2017-11-06 03:20:00,0
2017-11-06 03:30:00,0
2017-11-06 03:40:00,0
2017-11-06 03:50:00,0
2017-11-06 04:00:00,0
2017-11-06 04:10:00,0
2017-11-06 04:20:00,0
2017-11-06 04:30:00,0
2017-11-06 04:40:00,0
2017-11-06 04:50:00,0
2017-11-06 05:00:00,0
2017-11-06 05:10:00,0
2017-11-06 05:20:00,0
2017-11-06 05:30:00,0
2017-11-06 05:40:00,0
2017-11-06 05:50:00,0
2017-11-06 06:00:00,0
2017-11-06 06:10:00,0
2017-11-06 06:20:00,0
2017-11-06 06:30:00,0
2017-11-06 06:40:00,0
2017-11-06 06:50:00,0
2017-11-06 07:00:00,0
2017-11-06 07:10:00,0
2017-11-06 07:20:00,0
2017-11-06 07:30:00,2300
2017-11-06 07:40:00,6600
2017-11-06 07:50:00,9400
2017-11-06 08:00:00,14200
2017-11-06 08:10:00,18300
2017-11-06 08:20:00,20700
2017-11-06 08:30:00,26700
2017-11-06 08:40:00,30700
2017-11-06 08:50:00,35100
2017-11-06 09:00:00,39000
2017-11-06 09:10:00,38700
2017-11-06 09:20:00,49800
2017-11-06 09:30:00,51100
2017-11-06 09:40:00,54100
2017-11-06 09:50:00,57900
2017-11-06 10:00:00,61100
2017-11-06 10:10:00,59100
2017-11-06 10:20:00,67800
2017-11-06 10:30:00,70800
2017-11-06 10:40:00,73300
2017-11-06 10:50:00,75900
2017-11-06 11:00:00,77900
2017-11-06 11:10:00,79500
2017-11-06 11:20:00,84600
2017-11-06 11:30:00,85000
2017-11-06 11:40:00,84800
2017-11-06 11:50:00,85400
2017-11-06 12:00:00,86400
2017-11-06 12:10:00,87100
2017-11-06 12:20:00,87900
2017-11-06 12:30:00,88400
2017-11-06 12:40:00,87300
2017-11-06 12:50:00,87000
2017-11-06 13:00:00,86600
2017-11-06 13:10:00,85700
2017-11-06 13:20:00,84700
2017-11-06 13:30:00,83400
2017-11-06 13:40:00,82000
2017-11-06 13:50:00,80300
2017-11-06 14:00:00,81400
2017-11-06 14:10:00,79400
2017-11-06 14:20:00,79800
2017-11-06 14:30:00,72300
2017-11-06 14:40:00,69800
2017-11-06 14:50:00,67000
2017-11-06 15:00:00,64000
2017-11-06 15:10:00,60800
2017-11-06 15:20:00,57700
2017-11-06 15:30:00,53700
2017-11-06 15:40:00,50200
2017-11-06 15:50:00,45800
2017-11-06 16:00:00,42700
2017-11-06 16:10:00,38500
2017-11-06 16:20:00,16700
2017-11-06 16:30:00,26300
2017-11-06 16:40:00,25300
2017-11-06 16:50:00,20500
2017-11-06 17:00:00,14400
2017-11-06 17:10:00,11200
2017-11-06 17:20:00,5000
2017-11-06 17:30:00,3400
2017-11-06 17:40:00,1500
2017-11-06 17:50:00,0
2017-11-06 18:00:00,0
2017-11-06 18:10:00,0
2017-11-06 18:20:00,0
2017-11-06 18:30:00,0
2017-11-06 18:40:00,0
2017-11-06 18:50:00,0
2017-11-06 19:00:00,0
2017-11-06 19:10:00,0
2017-11-06 19:20:00,0
2017-11-06 19:30:00,0
2017-11-06 19:40:00,0
2017-11-06 19:50:00,0
2017-11-06 20:00:00,0
2017-11-06 20:10:00,0
2017-11-06 20:20:00,0
2017-11-06 20:30:00,0
2017-11-06 20:40:00,0
2017-11-06 20:50:00,0
2017-11-06 21:00:00,0
2017-11-06 21:10:00,0
2017-11-06 21:20:00,0
2017-11-06 21:30:00,0
2017-11-06 21:40:00,0
2017-11-06 21:50:00,0
2017-11-06 22:00:00,0
2017-11-06 22:10:00,0
2017-11-06 22:20:00,0
2017-11-06 22:30:00,0
2017-11-06 22:40:00,0
2017-11-06 22:50:00,0
2017-11-06 23:00:00,0
2017-11-06 23:10:00,0
2017-11-06 23:20:00,0
2017-11-06 23:30:00,0
2017-11-06 23:40:00,0
2017-11-06 23:50:00,0
2017-11-07 00:00:00,0
2017-11-07 00:10:00,0
2017-11-07 00:20:00,0
2017-11-07 00:30:00,0
2017-11-07 00:40:00,0
2017-11-07 00:50:00,0
2017-11-07 01:00:00,0
2017-11-07 01:10:00,0
2017-11-07 01:20:00,0
2017-11-07 01:30:00,0
2017-11-07 01:40:00,0
2017-11-07 01:50:00,0
2017-11-07 02:00:00,0
2017-11-07 02:10:00,0
2017-11-07 02:20:00,0
2017-11-07 02:30:00,0
2017-11-07 02:40:00,0
2017-11-07 02:50:00,0
2017-11-07 03:00:00,0
2017-11-07 03:10:00,0
2017-11-07 03:20:00,0
2017-11-07 03:30:00,0
2017-11-07 03:40:00,0
2017-11-07 03:50:00,0
2017-11-07 04:00:00,0
2017-11-07 04:10:00,0
2017-11-07 04:20:00,0
2017-11-07 04:30:00,0
2017-11-07 04:40:00,0
2017-11-07 04:50:00,0
2017-11-07 05:00:00,0
2017-11-07 05:10:00,0
2017-11-07 05:20:00,0
2017-11-07 05:30:00,0
2017-11-07 05:40:00,0
2017-11-07 05:50:00,0
2017-11-07 06:00:00,0
2017-11-07 06:10:00,0
2017-11-07 06:20:00,0
2017-11-07 06:30:00,0
2017-11-07 06:40:00,0
2017-11-07 06:50:00,0
2017-11-07 07:00:00,0
2017-11-07 07:10:00,0
2017-11-07 07:20:00,0
2017-11-07 07:30:00,1800
2017-11-07 07:40:00,3500
2017-11-07 07:50:00,4600
2017-11-07 08:00:00,5800
2017-11-07 08:10:00,9900
2017-11-07 08:20:00,11000
2017-11-07 08:30:00,10900
2017-11-07 08:40:00,13000
2017-11-07 08:50:00,16300
2017-11-07 09:00:00,20300
2017-11-07 09:10:00,28300
2017-11-07 09:20:00,19800
2017-11-07 09:30:00,11600
2017-11-07 09:40:00,37700
2017-11-07 09:50:00,61200
2017-11-07 10:00:00,69400
2017-11-07 10:10:00,65400
2017-11-07 10:20:00,70700
2017-11-07 10:30:00,58200
2017-11-07 10:40:00,71300
2017-11-07 10:50:00,67000
2017-11-07 11:00:00,73400
2017-11-07 11:10:00,78100
2017-11-07 11:20:00,79600
2017-11-07 11:30:00,81000
2017-11-07 11:40:00,84100
2017-11-07 11:50:00,96400
2017-11-07 12:00:00,54200
2017-11-07 12:10:00,77600
2017-11-07 12:20:00,58700
2017-11-07 12:30:00,49100
2017-11-07 12:40:00,48600
2017-11-07 12:50:00,50100
2017-11-07 13:00:00,45900
2017-11-07 13:10:00,43600
2017-11-07 13:20:00,34400
2017-11-07 13:30:00,38100
2017-11-07 13:40:00,40400
2017-11-07 13:50:00,43900
2017-11-07 14:00:00,41700
2017-11-07 14:10:00,43200
2017-11-07 14:20:00,41600
2017-11-07 14:30:00,46700
2017-11-07 14:40:00,45500
2017-11-07 14:50:00,45800
2017-11-07 15:00:00,47200
2017-11-07 15:10:00,68000
2017-11-07 15:20:00,18600
2017-11-07 15:30:00,20900
2017-11-07 15:40:00,56300
2017-11-07 15:50:00,52100
2017-11-07 16:00:00,20600
2017-11-07 16:10:00,14000
2017-11-07 16:20:00,11700
2017-11-07 16:30:00,12100
2017-11-07 16:40:00,10300
2017-11-07 16:50:00,9900
2017-11-07 17:00:00,9100
2017-11-07 17:10:00,8000
2017-11-07 17:20:00,6300
2017-11-07 17:30:00,5100
2017-11-07 17:40:00,1600
2017-11-07 17:50:00,0
2017-11-07 18:00:00,0
2017-11-07 18:10:00,0
2017-11-07 18:20:00,0
2017-11-07 18:30:00,0
2017-11-07 18:40:00,0
2017-11-07 18:50:00,0
2017-11-07 19:00:00,0
2017-11-07 19:10:00,0
2017-11-07 19:20:00,0
2017-11-07 19:30:00,0
2017-11-07 19:40:00,0
2017-11-07 19:50:00,0
2017-11-07 20:00:00,0
2017-11-07 20:10:00,0
2017-11-07 20:20:00,0
2017-11-07 20:30:00,0
2017-11-07 20:40:00,0
2017-11-07 20:50:00,0
2017-11-07 21:00:00,0
2017-11-07 21:10:00,0
2017-11-07 21:20:00,0
2017-11-07 21:30:00,0
2017-11-07 21:40:00,0
2017-11-07 21:50:00,0
2017-11-07 22:00:00,0
2017-11-07 22:10:00,0
2017-11-07 22:20:00,0
2017-11-07 22:30:00,0
2017-11-07 22:40:00,0
2017-11-07 22:50:00,0
2017-11-07 23:00:00,0
2017-11-07 23:10:00,0
2017-11-07 23:20:00,0
2017-11-07 23:30:00,0
2017-11-07 23:40:00,0
2017-11-07 23:50:00,0
2017-11-08 00:00:00,0
2017-11-08 00:10:00,0
2017-11-08 00:20:00,0
2017-11-08 00:30:00,0
2017-11-08 00:40:00,0
2017-11-08 00:50:00,0
2017-11-08 01:00:00,0
2017-11-08 01:10:00,0
2017-11-08 01:20:00,0
2017-11-08 01:30:00,0
2017-11-08 01:40:00,0
2017-11-08 01:50:00,0
2017-11-08 02:00:00,0
2017-11-08 02:10:00,0
2017-11-08 02:20:00,0
2017-11-08 02:30:00,0
2017-11-08 02:40:00,0
2017-11-08 02:50:00,0
2017-11-08 03:00:00,0
2017-11-08 03:10:00,0
2017-11-08 03:20:00,0
2017-11-08 03:30:00,0
2017-11-08 03:40:00,0
2017-11-08 03:50:00,0
2017-11-08 04:00:00,0
2017-11-08 04:10:00,0
2017-11-08 04:20:00,0
2017-11-08 04:30:00,0
2017-11-08 04:40:00,0
2017-11-08 04:50:00,0
2017-11-08 05:00:00,0
2017-11-08 05:10:00,0
2017-11-08 05:20:00,0
2017-11-08 05:30:00,0
2017-11-08 05:40:00,0
2017-11-08 05:50:00,0
2017-11-08 06:00:00,0
2017-11-08 06:10:00,0
2017-11-08 06:20:00,0
2017-11-08 06:30:00,0
2017-11-08 06:40:00,0
2017-11-08 06:50:00,0
2017-11-08 07:00:00,0
2017-11-08 07:10:00,0
2017-11-08 07:20:00,0
2017-11-08 07:30:00,2000
2017-11-08 07:40:00,3900
2017-11-08 07:50:00,5300
2017-11-08 08:00:00,10300
2017-11-08 08:10:00,13300
2017-11-08 08:20:00,26500
2017-11-08 08:30:00,21800
2017-11-08 08:40:00,34200
2017-11-08 08:50:00,26500
2017-11-08 09:00:00,17200
2017-11-08 09:10:00,30000
2017-11-08 09:20:00,49400
2017-11-08 09:30:00,52500
2017-11-08 09:40:00,55400
2017-11-08 09:50:00,58700
2017-11-08 10:00:00,61100
2017-11-08 10:10:00,60500
2017-11-08 10:20:00,66000
2017-11-08 10:30:00,68800
2017-11-08 10:40:00,71500
2017-11-08 10:50:00,74100
2017-11-08 11:00:00,75000
2017-11-08 11:10:00,78200
2017-11-08 11:20:00,80100
2017-11-08 11:30:00,64700
2017-11-08 11:40:00,84000
2017-11-08 11:50:00,83900
2017-11-08 12:00:00,74900
2017-11-08 12:10:00,73900
2017-11-08 12:20:00,76800
2017-11-08 12:30:00,62500
2017-11-08 12:40:00,82300
2017-11-08 12:50:00,74100
2017-11-08 13:00:00,94500
2017-11-08 13:10:00,84100
2017-11-08 13:20:00,76900
2017-11-08 13:30:00,69800
2017-11-08 13:40:00,56300
2017-11-08 13:50:00,65000
2017-11-08 14:00:00,51700
2017-11-08 14:10:00,63300
2017-11-08 14:20:00,92500
2017-11-08 14:30:00,60800
2017-11-08 14:40:00,46700
2017-11-08 14:50:00,51900
2017-11-08 15:00:00,57100
2017-11-08 15:10:00,60800
2017-11-08 15:20:00,38000
2017-11-08 15:30:00,34500
2017-11-08 15:40:00,45400
2017-11-08 15:50:00,21000
2017-11-08 16:00:00,24200
2017-11-08 16:10:00,24700
2017-11-08 16:20:00,21900
2017-11-08 16:30:00,17300
2017-11-08 16:40:00,13000
2017-11-08 16:50:00,7900
2017-11-08 17:00:00,6000
2017-11-08 17:10:00,4700
2017-11-08 17:20:00,3800
2017-11-08 17:30:00,2200
2017-11-08 17:40:00,1200
2017-11-08 17:50:00,0
2017-11-08 18:00:00,0
2017-11-08 18:10:00,0
2017-11-08 18:20:00,0
2017-11-08 18:30:00,0
2017-11-08 18:40:00,0
2017-11-08 18:50:00,0
2017-11-08 19:00:00,0
2017-11-08 19:10:00,0
2017-11-08 19:20:00,0
2017-11-08 19:30:00,0
2017-11-08 19:40:00,0
2017-11-08 19:50:00,0
2017-11-08 20:00:00,0
2017-11-08 20:10:00,0
2017-11-08 20:20:00,0
2017-11-08 20:30:00,0
2017-11-08 20:40:00,0
2017-11-08 20:50:00,0
2017-11-08 21:00:00,0
2017-11-08 21:10:00,0
2017-11-08 21:20:00,0
2017-11-08 21:30:00,0
2017-11-08 21:40:00,0
2017-11-08 21:50:00,0
2017-11-08 22:00:00,0
2017-11-08 22:10:00,0
2017-11-08 22:20:00,0
2017-11-08 22:30:00,0
2017-11-08 22:40:00,0
2017-11-08 22:50:00,0
2017-11-08 23:00:00,0
2017-11-08 23:10:00,0
2017-11-08 23:20:00,0
2017-11-08 23:30:00,0
2017-11-08 23:40:00,0
2017-11-08 23:50:00,0
2017-11-09 00:00:00,0
2017-11-09 00:10:00,0
2017-11-09 00:20:00,0
2017-11-09 00:30:00,0
2017-11-09 00:40:00,0
2017-11-09 00:50:00,0
2017-11-09 01:00:00,0
2017-11-09 01:10:00,0
2017-11-09 01:20:00,0
2017-11-09 01:30:00,0
2017-11-09 01:40:00,0
2017-11-09 01:50:00,0
2017-11-09 02:00:00,0
2017-11-09 02:10:00,0
2017-11-09 02:20:00,0
2017-11-09 02:30:00,0
2017-11-09 02:40:00,0
2017-11-09 02:50:00,0
2017-11-09 03:00:00,0
2017-11-09 03:10:00,0
2017-11-09 03:20:00,0
2017-11-09 03:30:00,0
2017-11-09 03:40:00,0
2017-11-09 03:50:00,0
2017-11-09 04:00:00,0
2017-11-09 04:10:00,0
2017-11-09 04:20:00,0
2017-11-09 04:30:00,0
2017-11-09 04:40:00,0
2017-11-09 04:50:00,0
2017-11-09 05:00:00,0
2017-11-09 05:10:00,0
2017-11-09 05:20:00,0
2017-11-09 05:30:00,0
2017-11-09 05:40:00,0
2017-11-09 05:50:00,0
2017-11-09 06:00:00,0
2017-11-09 06:10:00,0
2017-11-09 06:20:00,0
2017-11-09 06:30:00,0
2017-11-09 06:40:00,0
