# file...... Medidor_potencia_inverosr_bateria.txt
# date...... Thu Nov 11 11:34:45 2021
# user...... leona
# host...... (null)
# target.... meter 20
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_real_power, measured_reactive_power
2017-11-04 10:20:00 PDT,+0,-170593
2017-11-04 10:30:00 PDT,-7.27596e-012,-171427
2017-11-04 10:40:00 PDT,+0,-172261
2017-11-04 10:50:00 PDT,+3.63798e-012,-173093
2017-11-04 11:00:00 PDT,+1.13687e-013,-173927
2017-11-04 11:10:00 PDT,-3.63798e-012,-170094
2017-11-04 11:20:00 PDT,+3.41061e-012,-166260
2017-11-04 11:30:00 PDT,-3.63798e-012,-162427
2017-11-04 11:40:00 PDT,-3.52429e-012,-158594
2017-11-04 11:50:00 PDT,+3.63798e-012,-154760
2017-11-04 12:00:00 PDT,+5.68434e-014,-150927
2017-11-04 12:10:00 PDT,-3.63798e-012,-150427
2017-11-04 12:20:00 PDT,+5.68434e-014,-149927
2017-11-04 12:30:00 PDT,-3.69482e-012,-149427
2017-11-04 12:40:00 PDT,-5.68434e-014,-148927
2017-11-04 12:50:00 PDT,-3.63798e-012,-148427
2017-11-04 13:00:00 PDT,-5.68434e-014,-147927
2017-11-04 13:10:00 PDT,-3.63798e-012,-147427
2017-11-04 13:20:00 PDT,-3.63798e-012,-146927
2017-11-04 13:30:00 PDT,+3.69482e-012,-146427
2017-11-04 13:40:00 PDT,-354.003,-145927
2017-11-04 13:50:00 PDT,-1018.24,-145427
2017-11-04 14:00:00 PDT,-1719.61,-144927
2017-11-04 14:10:00 PDT,-2778.87,-144594
2017-11-04 14:20:00 PDT,-3788.05,-144260
2017-11-04 14:30:00 PDT,-4000.51,-143927
2017-11-04 14:40:00 PDT,-4785.13,-143594
2017-11-04 14:50:00 PDT,-5529.62,-143260
2017-11-04 15:00:00 PDT,-5600.55,-142927
2017-11-04 15:10:00 PDT,-6028.2,-143094
2017-11-04 15:20:00 PDT,-5522.2,-143260
2017-11-04 15:30:00 PDT,-5054.34,-143427
2017-11-04 15:40:00 PDT,-5008.96,-143594
2017-11-04 15:50:00 PDT,-3371.12,-143760
2017-11-04 16:00:00 PDT,-3605.96,-143927
2017-11-04 16:10:00 PDT,-3416.43,-144594
2017-11-04 16:20:00 PDT,-20324.4,-145260
2017-11-04 16:30:00 PDT,-3039.7,-145927
2017-11-04 16:40:00 PDT,-761.114,-146594
2017-11-04 16:50:00 PDT,-4887.49,-147260
2017-11-04 17:00:00 PDT,-14582.7,-147927
2017-11-04 17:10:00 PDT,-3064.89,-148094
2017-11-04 17:20:00 PDT,-6306.79,-148260
2017-11-04 17:30:00 PDT,-4487.6,-148427
2017-11-04 17:40:00 PDT,-3841.66,-148594
2017-11-04 17:50:00 PDT,-2816.71,-148760
2017-11-04 18:00:00 PDT,-1299.16,-148927
2017-11-04 18:10:00 PDT,-420.22,-148760
2017-11-04 18:20:00 PDT,+1.13687e-013,-148594
2017-11-04 18:30:00 PDT,-3.75167e-012,-148427
2017-11-04 18:40:00 PDT,-3.52429e-012,-148260
2017-11-04 18:50:00 PDT,+3.63798e-012,-148094
2017-11-04 19:00:00 PDT,+0,-147927
2017-11-04 19:10:00 PDT,+3.63798e-012,-148427
2017-11-04 19:20:00 PDT,+0,-148927
2017-11-04 19:30:00 PDT,-3.63798e-012,-149427
2017-11-04 19:40:00 PDT,+0,-149927
2017-11-04 19:50:00 PDT,+7.38964e-012,-150427
2017-11-04 20:00:00 PDT,-1.13687e-013,-150927
2017-11-04 20:10:00 PDT,-3.52429e-012,-157427
2017-11-04 20:20:00 PDT,+3.63798e-012,-163927
2017-11-04 20:30:00 PDT,-3.63798e-012,-170427
