tempo,potencia_ativa_carga,potencia_reativa_carga,potencia_PV,custo_energia
274,348.5,126.5,0,0.65
275,344.6,125.667,0,0.65
276,340.8,124.833,0,0.65
277,337,124,0,0.47
278,335.6,124,0,0.47
279,334.3,124,0,0.47
280,333,124,0,0.47
281,331.6,124,0,0.47
282,330.3,124,0,0.47
283,329,124,0,0.47
284,321.3,125.166,0,0.47
285,313.6,126.334,0,0.47
286,306,127.5,0,0.47
287,298.3,128.663,0,0.47
