Pot_descarga_bateria,Pot_carga_bateria,potencia_demandada_REDE,SOC,P_ref,custo_energia,Q_rede,Q_bat_PU,P_bat_PU,V_PCC
0.0,1.3545038,174.12824,0.6987622,66.87545623779297,0.47,-56.57922,0.99,-0.005418015,0.99982069
0.0,1.2190559,174.5961,0.69914921,65.61620407104492,0.47,-56.44098,0.99,-0.0048762237,0.99981013
0.0,1.1858575,175.54415,0.69949752,64.2252124786377,0.47,-55.78857,0.99,-0.0047434301,0.99976031
0.0,1.140407,176.69934,0.69983634,62.63553695678711,0.47,-55.50795,0.99,-0.0045616282,0.99973888
0.0,0.95438343,178.57531,0.70016218,60.88521957397461,0.47,-56.03163,0.99,-0.0038175337,0.99977887
0.0,1.3193222,180.93507,0.70043487,59.02313079833984,0.47,-55.4092,0.99,-0.0052772888,0.99973134
0.0,2.1740565,183.64045,0.70081182,57.06807746887207,0.47,-55.59456,0.99,-0.0086962261,0.9997455
0.0,2.2348322,186.80901,0.70143299,54.9747127532959,0.47,-55.88599,0.99,-0.008939329,0.99976775
0.0,1.3971935,190.36092,0.70207153,52.7933235168457,0.47,-56.21335,0.99,-0.0055887739,0.99979275
0.0,1.267859,194.27381,0.70247074,50.50785102844238,0.47,-56.51549,0.99,-0.0050714359,0.99981582
0.0,1.4673982,198.32362,0.70283299,48.14167175292969,0.47,-56.95772,0.99,-0.005869593,0.99984959
0.0,1.6691542,202.63393,0.70325225,45.61557083129882,0.47,-57.81783,0.99,-0.0066766167,0.99991528
0.0,1.5260262,206.9608,0.70372916,42.951398849487305,0.47,-58.29732,0.99,-0.0061041046,0.99995189
0.0,1.6658597,211.10589,0.70416518,40.29619026184082,0.47,-58.83693,0.99,-0.006663439,0.9999931
0.0,1.3374187,214.9798,0.70464115,37.647461318969725,0.47,-58.927275,0.98943726,-0.0053496747,1.0
0.0,1.8314701,218.65583,0.70502328,34.84918994903565,0.47,-58.927275,0.98791694,-0.0073258802,1.0
0.0,1.9621364,221.49009,0.70554657,32.018988609313965,0.47,-58.927275,0.98548382,-0.0078485456,1.0
0.0,1.4206808,225.06916,0.70610719,29.14714422225952,0.47,-58.927275,0.98631598,-0.0056827231,1.0
0.0,1.5329788,228.24372,0.7065131,26.105453205108642,0.47,-58.927275,0.98453046,-0.0061319152,1.0
0.0,2.2186745,230.12863,0.70695111,23.069747543334962,0.47,-58.927275,0.98472102,-0.0088746978,1.0
0.0,1.6262178,232.85579,0.70758503,20.00013818740845,0.47,-58.927275,0.98513678,-0.0065048713,1.0
0.0,2.1513364,234.17138,0.70804967,16.831375551223754,0.47,-58.927275,0.98567262,-0.0086053458,1.0
0.0,1.984388,236.03628,0.70866435,13.774593019485474,0.65,-58.927275,0.98764202,-0.0079375519,1.0
0.0,0.53439114,237.63605,0.70923133,11.010749864578248,0.65,-58.927275,0.98768578,-0.0021375645,1.0
0.0,0.1459143,238.72581,0.70938401,8.48190770149231,0.65,-58.927275,0.98992146,-0.00058365719,1.0
0.33470539,0.0,240.01784,0.7094257,6.319272089004516,0.65,-58.7776,0.99,0.0013388216,0.99998857
2.1275024,0.0,241.27257,0.70932194,4.421000909805298,0.65,-58.55066,0.99,0.0085100096,0.99997124
2.8451028,0.0,242.82598,0.70866236,2.845102834701538,0.65,-58.52892,0.99,0.011380411,0.99996958
1.6905887,0.0,244.42263,0.7077803,1.6905887126922607,1.0,-58.19292,0.99,0.0067623549,0.99994392
